username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Chez Red Louie,964697049781256192,"Los Angeles, CA",2023-01-20 22:14:39,"@Caramiarules That was a slip. Basscetti still follows the party line: Housing First.

Libs never learn, and are un… https://t.co/OJePPCiVQT",0,Twitter for Android,
Bounty Lawyer,1597028085488050177,"Los Angeles, CA",2023-01-20 22:12:31,@JackLawrenceXXX @EndWokeness Why can’t the gouvernement use half the Ukrainian aid to build shelter for the homele… https://t.co/NUIqUOtLLs,0,Twitter for iPhone,
DYLΛN,68521458,"Venice, Los Angeles",2023-01-20 22:10:44,@JasonSonderfan @koshadillz V13 all of it has gone rather quiet. Back in the day the shootings etc were terrifying.… https://t.co/IlBmPRVASL,0,Twitter for iPhone,
Marli 🖤,1377696342,"Los Angeles, CA",2023-01-20 21:59:47,A homeless person started a fire outside my apartment. Was wondering why it smelled so smoky in the hallway,0,Twitter for iPhone,
Neal Payton,34120405,"Santa Monica, CA",2023-01-20 21:53:24,So happy to have been a part of this effort. @pathpartners #HousingCrisis #Veterans #Homeless https://t.co/HlRjqfscTL,0,Twitter for iPhone,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:34,But Madison residents say that the foundation’s treatment of them pierces the claims about caring for L.A.’s most v… https://t.co/YieRpAXHLE,1,Twitter Web App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:34,"Foundation leaders say their goal has been to provide homes to low-income residents more quickly, cheaply and human… https://t.co/pillujrVfu",0,Twitter Web App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:33,The foundation purchased the Madison in 2017 — the first of more than a dozen single-room-occupancy and other apart… https://t.co/PYTa6oqjbv,0,Twitter Web App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:33,"The L.A. nonprofit has become one of the biggest funders of pro-tenant causes in the country, pouring tens of milli… https://t.co/bIVvZfnBO3",0,Twitter Web App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:32,"The foundation is best known as a behemoth in the healthcare industry, with nearly $2 billion in annual revenue ear… https://t.co/Sgj6TxS3Ez",0,Twitter Web App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:32,"It reopened but soon failed again, remaining broken for the better part of a year. Large-scale repairs started only… https://t.co/Nl2kN5HuFz",0,Twitter Web App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-20 21:50:31,"In 2018, after a blind tenant fell more than 12 feet down the open shaft, the elevator was out of service for seven… https://t.co/a16W8F2ZWF",3,Twitter Web App,
keith johnson,15074776,Los Angeles,2023-01-20 21:49:59,@KarenBassLA @usmayors Networking with other cities is a great idea. Surely some cities have a better handle on the… https://t.co/80Ps45Fklo,0,Twitter Web App,
Claudia Oliveira,938669393520685056,"Los Angeles, CA",2023-01-20 21:46:57,Shoutout to companies who hire within the homeless population!,0,Twitter for iPhone,
Alexandra Datig | Front Page Index 🇺🇸,50415411,Los Angeles,2023-01-20 21:46:55,@MayorOfLA @POTUS Talk is cheap! You have known for 20 year where the homeless are in your former congressional dis… https://t.co/4nJ1qa9dRO,8,Twitter Web App,
Robert J. Strock,272019049,"Santa Monica, CA",2023-01-20 21:40:10,"As is finally common knowledge, homelessness is a massive and ongoing issue in the United States and many countries… https://t.co/MqKNo518kS",0,Hootsuite Inc.,
LAisDying,1176575344574263297,Los Angeles,2023-01-20 21:36:18,"Fairfax and Beverly by @TheGroveLA and @CBS the moon is out early today. 
#Homeless @MayorOfLA https://t.co/gHC7VNvijX",0,Twitter for iPhone,
Dumbass Hashira✨,1528764238323322883,"Los Angeles, CA",2023-01-20 21:35:37,This homeless lady came in to this restaurant saying. She’s hungry and the server ran to the back and brought her o… https://t.co/Dd12lC5ld5,0,Twitter for iPhone,
Mel,1593677071925903360,"Los Angeles, CA",2023-01-20 21:34:36,"Except this part, seeing the homeless everywhere ☹️ This is the area, for years I gave to. Under the 101 on Alvarad… https://t.co/Oa5ot5qt0f",0,Twitter for iPhone,
"Nick ""Universal Programs"" Adams",135350798,Los Angeles,2023-01-20 21:34:27,"Oh, for sure. Her chummy relationship with this Republican asshole is gonna help the homeless in Los Angeles a lot! https://t.co/ODYp5GQzGB",0,TweetDeck,
Ashe🥛 BigTittyCards,1278258781726445568,"Los Angeles, CA",2023-01-20 21:33:21,@ProRebornYT @JakeSucky They now all have to make only fans or potentially become homeless,0,Twitter for iPhone,
Helena Un Hui Ji,4882329321,"Los Angeles, CA",2023-01-20 21:30:06,Because people get hurt a lot inside. That's why I keep writing about this matter so importantly. Please treat the… https://t.co/YugqAT4WGD,0,Twitter Web App,
Shelter Partnership,557235169,"Los Angeles, CA ",2023-01-20 21:24:00,"The 2023 #Homeless Count will take place from January 24-26. To volunteer to help with the #HomelessCount, please v… https://t.co/SQDvnxO72i",0,TweetDeck,
Alexandra Datig | Front Page Index 🇺🇸,50415411,Los Angeles,2023-01-20 21:19:58,@MayorOfLA @SecVetAffairs A lot of feel good talk coming from this administration. Not seeing the results real time… https://t.co/zllpoGBeuw,0,Twitter Web App,
Alexandra Datig | Front Page Index 🇺🇸,50415411,Los Angeles,2023-01-20 21:14:22,"@Elex_Michaelson @MayorOfLA @POTUS @JoeBiden @KarenBassLA Does that 25% include the 1,400+- people who die per year… https://t.co/60WYbchlfy",0,Twitter Web App,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-20 21:14:00,"While PTSD can result in homelessness, traumas homeless people are exposed to can also cause PTSD:
https://t.co/KZU0Ie65uw",8,Sprout Social,
